"LTER_site","local_site","date","discharge","temperature","notes"
"NWT","alb",1982-01-14,NaN,NaN,NaN
"NWT","alb",1982-01-15,NaN,NaN,NaN
"NWT","alb",1982-01-16,NaN,NaN,NaN
"NWT","alb",1982-01-17,NaN,NaN,NaN
"NWT","alb",1982-01-18,NaN,NaN,NaN
"NWT","alb",1982-01-19,NaN,NaN,NaN
"NWT","alb",1982-01-20,NaN,NaN,NaN
"NWT","alb",1982-01-21,NaN,NaN,NaN
"NWT","alb",1982-01-22,NaN,NaN,NaN
"NWT","alb",1982-01-23,NaN,NaN,NaN
"NWT","alb",1982-01-24,NaN,NaN,NaN
"NWT","alb",1982-01-25,NaN,NaN,NaN
"NWT","alb",1982-01-26,NaN,NaN,NaN
"NWT","alb",1982-01-27,NaN,NaN,NaN
"NWT","alb",1982-01-28,NaN,NaN,NaN
"NWT","alb",1982-01-29,NaN,NaN,NaN
"NWT","alb",1982-01-30,NaN,NaN,NaN
"NWT","alb",1982-01-31,NaN,NaN,NaN
"NWT","alb",1982-02-01,NaN,NaN,NaN
"NWT","alb",1982-02-02,NaN,NaN,NaN
"NWT","alb",1982-02-03,NaN,NaN,NaN
"NWT","alb",1982-02-04,NaN,NaN,NaN
"NWT","alb",1982-02-05,NaN,NaN,NaN
"NWT","alb",1982-02-06,NaN,NaN,NaN
"NWT","alb",1982-02-07,NaN,NaN,NaN
"NWT","alb",1982-02-08,NaN,NaN,NaN
"NWT","alb",1982-02-09,NaN,NaN,NaN
"NWT","alb",1982-02-10,NaN,NaN,NaN
"NWT","alb",1982-02-11,NaN,NaN,NaN
"NWT","alb",1982-02-12,NaN,NaN,NaN
"NWT","alb",1982-02-13,NaN,NaN,NaN
"NWT","alb",1982-02-14,NaN,NaN,NaN
"NWT","alb",1982-02-15,NaN,NaN,NaN
"NWT","alb",1982-02-16,NaN,NaN,NaN
"NWT","alb",1982-02-17,NaN,NaN,NaN
"NWT","alb",1982-02-18,NaN,NaN,NaN
"NWT","alb",1982-02-19,NaN,NaN,NaN
"NWT","alb",1982-02-20,NaN,NaN,NaN
"NWT","alb",1982-02-21,NaN,NaN,NaN
"NWT","alb",1982-02-22,NaN,NaN,NaN
"NWT","alb",1982-02-23,NaN,NaN,NaN
"NWT","alb",1982-02-24,NaN,NaN,NaN
"NWT","alb",1982-02-25,NaN,NaN,NaN
"NWT","alb",1982-02-26,NaN,NaN,NaN
"NWT","alb",1982-02-27,NaN,NaN,NaN
"NWT","alb",1982-02-28,NaN,NaN,NaN
"NWT","alb",1982-03-01,NaN,NaN,NaN
"NWT","alb",1982-03-02,NaN,NaN,NaN
"NWT","alb",1982-03-03,NaN,NaN,NaN
"NWT","alb",1982-03-04,NaN,NaN,NaN
"NWT","alb",1982-03-05,NaN,NaN,NaN
"NWT","alb",1982-03-06,NaN,NaN,NaN
"NWT","alb",1982-03-07,NaN,NaN,NaN
"NWT","alb",1982-03-08,NaN,NaN,NaN
"NWT","alb",1982-03-09,NaN,NaN,NaN
"NWT","alb",1982-03-10,NaN,NaN,NaN
"NWT","alb",1982-03-11,NaN,NaN,NaN
"NWT","alb",1982-03-12,NaN,NaN,NaN
"NWT","alb",1982-03-13,NaN,NaN,NaN
"NWT","alb",1982-03-14,NaN,NaN,NaN
"NWT","alb",1982-03-15,NaN,NaN,NaN
"NWT","alb",1982-03-16,NaN,NaN,NaN
"NWT","alb",1982-03-17,NaN,NaN,NaN
"NWT","alb",1982-03-18,NaN,NaN,NaN
"NWT","alb",1982-03-19,NaN,NaN,NaN
"NWT","alb",1982-03-20,NaN,NaN,NaN
"NWT","alb",1982-03-21,NaN,NaN,NaN
"NWT","alb",1982-03-22,NaN,NaN,NaN
"NWT","alb",1982-03-23,NaN,NaN,NaN
"NWT","alb",1982-03-24,NaN,NaN,NaN
"NWT","alb",1982-03-25,NaN,NaN,NaN
"NWT","alb",1982-03-26,NaN,NaN,NaN
"NWT","alb",1982-03-27,NaN,NaN,NaN
"NWT","alb",1982-03-28,NaN,NaN,NaN
"NWT","alb",1982-03-29,NaN,NaN,NaN
"NWT","alb",1982-03-30,NaN,NaN,NaN
"NWT","alb",1982-03-31,NaN,NaN,NaN
"NWT","alb",1982-04-01,NaN,NaN,NaN
"NWT","alb",1982-04-02,NaN,NaN,NaN
"NWT","alb",1982-04-03,NaN,NaN,NaN
"NWT","alb",1982-04-04,NaN,NaN,NaN
"NWT","alb",1982-04-05,NaN,NaN,NaN
"NWT","alb",1982-04-06,NaN,NaN,NaN
"NWT","alb",1982-04-07,NaN,NaN,NaN
"NWT","alb",1982-04-08,NaN,NaN,NaN
"NWT","alb",1982-04-09,NaN,NaN,NaN
"NWT","alb",1982-04-10,NaN,NaN,NaN
"NWT","alb",1982-04-11,NaN,NaN,NaN
"NWT","alb",1982-04-12,NaN,NaN,NaN
"NWT","alb",1982-04-13,NaN,NaN,NaN
"NWT","alb",1982-04-14,NaN,NaN,NaN
"NWT","alb",1982-04-15,NaN,NaN,NaN
"NWT","alb",1982-04-16,NaN,NaN,NaN
"NWT","alb",1982-04-17,NaN,NaN,NaN
"NWT","alb",1982-04-18,NaN,NaN,NaN
"NWT","alb",1982-04-19,NaN,NaN,NaN
"NWT","alb",1982-04-20,NaN,NaN,NaN
"NWT","alb",1982-04-21,NaN,NaN,NaN
"NWT","alb",1982-04-22,NaN,NaN,NaN
"NWT","alb",1982-04-23,NaN,NaN,NaN
"NWT","alb",1982-04-24,NaN,NaN,NaN
"NWT","alb",1982-04-25,NaN,NaN,NaN
"NWT","alb",1982-04-26,NaN,NaN,NaN
"NWT","alb",1982-04-27,NaN,NaN,NaN
"NWT","alb",1982-04-28,NaN,NaN,NaN
"NWT","alb",1982-04-29,NaN,NaN,NaN
"NWT","alb",1982-04-30,NaN,NaN,NaN
"NWT","alb",1982-05-01,NaN,NaN,NaN
"NWT","alb",1982-05-02,NaN,NaN,NaN
"NWT","alb",1982-05-03,NaN,NaN,NaN
"NWT","alb",1982-05-04,NaN,NaN,NaN
"NWT","alb",1982-05-05,NaN,NaN,NaN
"NWT","alb",1982-05-06,NaN,NaN,NaN
"NWT","alb",1982-05-07,NaN,NaN,NaN
"NWT","alb",1982-05-08,NaN,NaN,NaN
"NWT","alb",1982-05-09,NaN,NaN,NaN
"NWT","alb",1982-05-10,NaN,NaN,NaN
"NWT","alb",1982-05-11,NaN,NaN,NaN
"NWT","alb",1982-05-12,NaN,NaN,NaN
"NWT","alb",1982-05-13,NaN,NaN,NaN
"NWT","alb",1982-05-14,NaN,NaN,NaN
"NWT","alb",1982-05-15,NaN,NaN,NaN
"NWT","alb",1982-05-16,NaN,NaN,NaN
"NWT","alb",1982-05-17,NaN,NaN,NaN
"NWT","alb",1982-05-18,NaN,NaN,NaN
"NWT","alb",1982-05-19,NaN,NaN,NaN
"NWT","alb",1982-05-20,NaN,NaN,NaN
"NWT","alb",1982-05-21,NaN,NaN,NaN
"NWT","alb",1982-05-22,NaN,NaN,NaN
"NWT","alb",1982-05-23,NaN,NaN,NaN
"NWT","alb",1982-05-24,NaN,NaN,NaN
"NWT","alb",1982-05-25,NaN,NaN,NaN
"NWT","alb",1982-05-26,NaN,NaN,NaN
"NWT","alb",1982-05-27,NaN,NaN,NaN
"NWT","alb",1982-05-28,NaN,NaN,NaN
"NWT","alb",1982-05-29,NaN,NaN,NaN
"NWT","alb",1982-05-30,NaN,NaN,NaN
"NWT","alb",1982-05-31,NaN,NaN,NaN
"NWT","alb",1982-06-01,NaN,NaN,NaN
"NWT","alb",1982-06-02,NaN,NaN,NaN
"NWT","alb",1982-06-03,NaN,NaN,NaN
"NWT","alb",1982-06-04,NaN,NaN,NaN
"NWT","alb",1982-06-05,NaN,NaN,NaN
"NWT","alb",1982-06-06,NaN,NaN,NaN
"NWT","alb",1982-06-07,NaN,NaN,NaN
"NWT","alb",1982-06-08,3460,NaN,NaN
"NWT","alb",1982-06-09,4975,NaN,NaN
"NWT","alb",1982-06-10,7617,NaN,NaN
"NWT","alb",1982-06-11,12151,NaN,NaN
"NWT","alb",1982-06-12,13292,NaN,NaN
"NWT","alb",1982-06-13,45081,NaN,NaN
"NWT","alb",1982-06-14,40893,NaN,NaN
"NWT","alb",1982-06-15,42088,NaN,NaN
"NWT","alb",1982-06-16,39533,NaN,NaN
"NWT","alb",1982-06-17,49337,NaN,NaN
"NWT","alb",1982-06-18,50682,NaN,NaN
"NWT","alb",1982-06-19,51823,NaN,NaN
"NWT","alb",1982-06-20,45760,NaN,NaN
"NWT","alb",1982-06-21,59483,NaN,NaN
"NWT","alb",1982-06-22,71656,NaN,NaN
"NWT","alb",1982-06-23,64594,NaN,NaN
"NWT","alb",1982-06-24,61751,NaN,NaN
"NWT","alb",1982-06-25,64693,NaN,NaN
"NWT","alb",1982-06-26,75046,NaN,NaN
"NWT","alb",1982-06-27,102074,NaN,NaN
"NWT","alb",1982-06-28,132008,NaN,NaN
"NWT","alb",1982-06-29,108097,NaN,NaN
"NWT","alb",1982-06-30,129213,NaN,NaN
"NWT","alb",1982-07-01,122995,NaN,NaN
"NWT","alb",1982-07-02,126506,NaN,NaN
"NWT","alb",1982-07-03,128392,NaN,NaN
"NWT","alb",1982-07-04,123326,NaN,NaN
"NWT","alb",1982-07-05,121412,NaN,NaN
"NWT","alb",1982-07-06,120945,NaN,NaN
"NWT","alb",1982-07-07,99868,NaN,NaN
"NWT","alb",1982-07-08,73072,NaN,NaN
"NWT","alb",1982-07-09,76314,NaN,NaN
"NWT","alb",1982-07-10,68473,NaN,NaN
"NWT","alb",1982-07-11,57687,NaN,NaN
"NWT","alb",1982-07-12,59636,NaN,NaN
"NWT","alb",1982-07-13,61700,NaN,NaN
"NWT","alb",1982-07-14,60244,NaN,NaN
"NWT","alb",1982-07-15,61349,NaN,NaN
"NWT","alb",1982-07-16,61172,NaN,NaN
"NWT","alb",1982-07-17,61003,NaN,NaN
"NWT","alb",1982-07-18,61323,NaN,NaN
"NWT","alb",1982-07-19,60494,NaN,NaN
"NWT","alb",1982-07-20,59018,NaN,NaN
"NWT","alb",1982-07-21,55739,NaN,NaN
"NWT","alb",1982-07-22,56897,NaN,NaN
"NWT","alb",1982-07-23,57362,NaN,NaN
"NWT","alb",1982-07-24,55923,NaN,NaN
"NWT","alb",1982-07-25,53689,NaN,NaN
"NWT","alb",1982-07-26,50733,NaN,NaN
"NWT","alb",1982-07-27,49900,NaN,NaN
"NWT","alb",1982-07-28,49136,NaN,NaN
"NWT","alb",1982-07-29,51846,NaN,NaN
"NWT","alb",1982-07-30,53386,NaN,NaN
"NWT","alb",1982-07-31,55804,NaN,NaN
"NWT","alb",1982-08-01,58022,NaN,NaN
"NWT","alb",1982-08-02,94533,NaN,NaN
"NWT","alb",1982-08-03,110685,NaN,NaN
"NWT","alb",1982-08-04,64883,NaN,NaN
"NWT","alb",1982-08-05,51053,NaN,NaN
"NWT","alb",1982-08-06,47658,NaN,NaN
"NWT","alb",1982-08-07,47544,NaN,NaN
"NWT","alb",1982-08-08,44497,NaN,NaN
"NWT","alb",1982-08-09,48714,NaN,NaN
"NWT","alb",1982-08-10,43676,NaN,NaN
"NWT","alb",1982-08-11,41816,NaN,NaN
"NWT","alb",1982-08-12,40020,NaN,NaN
"NWT","alb",1982-08-13,40963,NaN,NaN
"NWT","alb",1982-08-14,37732,NaN,NaN
"NWT","alb",1982-08-15,38712,NaN,NaN
"NWT","alb",1982-08-16,41773,NaN,NaN
"NWT","alb",1982-08-17,35439,NaN,NaN
"NWT","alb",1982-08-18,44121,NaN,NaN
"NWT","alb",1982-08-19,39012,NaN,NaN
"NWT","alb",1982-08-20,44044,NaN,NaN
"NWT","alb",1982-08-21,44412,NaN,NaN
"NWT","alb",1982-08-22,42405,NaN,NaN
"NWT","alb",1982-08-23,40236,NaN,NaN
"NWT","alb",1982-08-24,38899,NaN,NaN
"NWT","alb",1982-08-25,36781,NaN,NaN
"NWT","alb",1982-08-26,36033,NaN,NaN
"NWT","alb",1982-08-27,34357,NaN,NaN
"NWT","alb",1982-08-28,31882,NaN,NaN
"NWT","alb",1982-08-29,30294,NaN,NaN
"NWT","alb",1982-08-30,30177,NaN,NaN
"NWT","alb",1982-08-31,19649,NaN,NaN
"NWT","alb",1982-09-01,22297,NaN,NaN
"NWT","alb",1982-09-02,26598,NaN,NaN
"NWT","alb",1982-09-03,14139,NaN,NaN
"NWT","alb",1982-09-04,15031,NaN,NaN
"NWT","alb",1982-09-05,12462,NaN,NaN
"NWT","alb",1982-09-06,11825,NaN,NaN
"NWT","alb",1982-09-07,11236,NaN,NaN
"NWT","alb",1982-09-08,11723,NaN,NaN
"NWT","alb",1982-09-09,10758,NaN,NaN
"NWT","alb",1982-09-10,12995,NaN,NaN
"NWT","alb",1982-09-11,11225,NaN,NaN
"NWT","alb",1982-09-12,16834,NaN,NaN
"NWT","alb",1982-09-13,10854,NaN,NaN
"NWT","alb",1982-09-14,10038,NaN,NaN
"NWT","alb",1982-09-15,10630,NaN,NaN
"NWT","alb",1982-09-16,11729,NaN,NaN
"NWT","alb",1982-09-17,11097,NaN,NaN
"NWT","alb",1982-09-18,15954,NaN,NaN
"NWT","alb",1982-09-19,11403,NaN,NaN
"NWT","alb",1982-09-20,11522,NaN,NaN
"NWT","alb",1982-09-21,11327,NaN,NaN
"NWT","alb",1982-09-22,11188,NaN,NaN
"NWT","alb",1982-09-23,10831,NaN,NaN
"NWT","alb",1982-09-24,11248,NaN,NaN
"NWT","alb",1982-09-25,11324,NaN,NaN
"NWT","alb",1982-09-26,15671,NaN,NaN
"NWT","alb",1982-09-27,9914,NaN,NaN
"NWT","alb",1982-09-28,10480,NaN,NaN
"NWT","alb",1982-09-29,10766,NaN,NaN
"NWT","alb",1982-09-30,11485,NaN,NaN
"NWT","alb",1982-10-01,10375,NaN,NaN
"NWT","alb",1982-10-02,12808,NaN,NaN
"NWT","alb",1982-10-03,12842,NaN,NaN
"NWT","alb",1982-10-04,11219,NaN,NaN
"NWT","alb",1982-10-05,11044,NaN,NaN
"NWT","alb",1982-10-06,22268,NaN,NaN
"NWT","alb",1982-10-07,7238,NaN,NaN
"NWT","alb",1982-10-08,5576,NaN,NaN
"NWT","alb",1982-10-09,7224,NaN,NaN
"NWT","alb",1982-10-10,15478,NaN,NaN
"NWT","alb",1982-10-11,13479,NaN,NaN
"NWT","alb",1982-10-12,2078,NaN,NaN
"NWT","alb",1982-10-13,NaN,NaN,NaN
"NWT","alb",1982-10-14,NaN,NaN,NaN
"NWT","alb",1982-10-15,NaN,NaN,NaN
"NWT","alb",1982-10-16,NaN,NaN,NaN
"NWT","alb",1982-10-17,NaN,NaN,NaN
"NWT","alb",1982-10-18,NaN,NaN,NaN
"NWT","alb",1982-10-19,NaN,NaN,NaN
"NWT","alb",1982-10-20,NaN,NaN,NaN
"NWT","alb",1982-10-21,NaN,NaN,NaN
"NWT","alb",1982-10-22,NaN,NaN,NaN
"NWT","alb",1982-10-23,NaN,NaN,NaN
"NWT","alb",1982-10-24,NaN,NaN,NaN
"NWT","alb",1982-10-25,NaN,NaN,NaN
"NWT","alb",1982-10-26,NaN,NaN,NaN
"NWT","alb",1982-10-27,NaN,NaN,NaN
"NWT","alb",1982-10-28,NaN,NaN,NaN
"NWT","alb",1982-10-29,NaN,NaN,NaN
"NWT","alb",1982-10-30,NaN,NaN,NaN
"NWT","alb",1982-10-31,NaN,NaN,NaN
"NWT","alb",1982-11-01,NaN,NaN,NaN
"NWT","alb",1982-11-02,NaN,NaN,NaN
"NWT","alb",1982-11-03,NaN,NaN,NaN
"NWT","alb",1982-11-04,NaN,NaN,NaN
"NWT","alb",1982-11-05,NaN,NaN,NaN
"NWT","alb",1982-11-06,NaN,NaN,NaN
"NWT","alb",1982-11-07,NaN,NaN,NaN
"NWT","alb",1982-11-08,NaN,NaN,NaN
"NWT","alb",1982-11-09,NaN,NaN,NaN
"NWT","alb",1982-11-10,NaN,NaN,NaN
"NWT","alb",1982-11-11,NaN,NaN,NaN
"NWT","alb",1982-11-12,NaN,NaN,NaN
"NWT","alb",1982-11-13,NaN,NaN,NaN
"NWT","alb",1982-11-14,NaN,NaN,NaN
"NWT","alb",1982-11-15,NaN,NaN,NaN
"NWT","alb",1982-11-16,NaN,NaN,NaN
"NWT","alb",1982-11-17,NaN,NaN,NaN
"NWT","alb",1982-11-18,NaN,NaN,NaN
"NWT","alb",1982-11-19,NaN,NaN,NaN
"NWT","alb",1982-11-20,NaN,NaN,NaN
"NWT","alb",1982-11-21,NaN,NaN,NaN
"NWT","alb",1982-11-22,NaN,NaN,NaN
"NWT","alb",1982-11-23,NaN,NaN,NaN
"NWT","alb",1982-11-24,NaN,NaN,NaN
"NWT","alb",1982-11-25,NaN,NaN,NaN
"NWT","alb",1982-11-26,NaN,NaN,NaN
"NWT","alb",1982-11-27,NaN,NaN,NaN
"NWT","alb",1982-11-28,NaN,NaN,NaN
"NWT","alb",1982-11-29,NaN,NaN,NaN
"NWT","alb",1982-11-30,NaN,NaN,NaN
"NWT","alb",1982-12-01,NaN,NaN,NaN
"NWT","alb",1982-12-02,NaN,NaN,NaN
"NWT","alb",1982-12-03,NaN,NaN,NaN
"NWT","alb",1982-12-04,NaN,NaN,NaN
