"LTER_site","local_site","date","discharge","temperature","notes"
"NWT","sdl",1999-10-30,NaN,NaN,NaN
"NWT","sdl",1999-10-31,NaN,NaN,NaN
"NWT","sdl",1999-11-01,NaN,NaN,NaN
"NWT","sdl",1999-11-02,NaN,NaN,NaN
"NWT","sdl",1999-11-03,NaN,NaN,NaN
"NWT","sdl",1999-11-04,NaN,NaN,NaN
"NWT","sdl",1999-11-05,NaN,NaN,NaN
"NWT","sdl",1999-11-06,NaN,NaN,NaN
"NWT","sdl",1999-11-07,NaN,NaN,NaN
"NWT","sdl",1999-11-08,NaN,NaN,NaN
"NWT","sdl",1999-11-09,NaN,NaN,NaN
"NWT","sdl",1999-11-10,NaN,NaN,NaN
"NWT","sdl",1999-11-11,NaN,NaN,NaN
"NWT","sdl",1999-11-12,NaN,NaN,NaN
"NWT","sdl",1999-11-13,NaN,NaN,NaN
"NWT","sdl",1999-11-14,NaN,NaN,NaN
"NWT","sdl",1999-11-15,NaN,NaN,NaN
"NWT","sdl",1999-11-16,NaN,NaN,NaN
"NWT","sdl",1999-11-17,NaN,NaN,NaN
"NWT","sdl",1999-11-18,NaN,NaN,NaN
"NWT","sdl",1999-11-19,NaN,NaN,NaN
"NWT","sdl",1999-11-20,NaN,NaN,NaN
"NWT","sdl",1999-11-21,NaN,NaN,NaN
"NWT","sdl",1999-11-22,NaN,NaN,NaN
"NWT","sdl",1999-11-23,NaN,NaN,NaN
"NWT","sdl",1999-11-24,NaN,NaN,NaN
"NWT","sdl",1999-11-25,NaN,NaN,NaN
"NWT","sdl",1999-11-26,NaN,NaN,NaN
"NWT","sdl",1999-11-27,NaN,NaN,NaN
"NWT","sdl",1999-11-28,NaN,NaN,NaN
"NWT","sdl",1999-11-29,NaN,NaN,NaN
"NWT","sdl",1999-11-30,NaN,NaN,NaN
"NWT","sdl",1999-12-01,NaN,NaN,NaN
"NWT","sdl",1999-12-02,NaN,NaN,NaN
"NWT","sdl",1999-12-03,NaN,NaN,NaN
"NWT","sdl",1999-12-04,NaN,NaN,NaN
"NWT","sdl",1999-12-05,NaN,NaN,NaN
"NWT","sdl",1999-12-06,NaN,NaN,NaN
"NWT","sdl",1999-12-07,NaN,NaN,NaN
"NWT","sdl",1999-12-08,NaN,NaN,NaN
"NWT","sdl",1999-12-09,NaN,NaN,NaN
"NWT","sdl",1999-12-10,NaN,NaN,NaN
